Time_stamp	epoch	train_loss	val_loss	epoch_time	learing_rate
218	0.168282	0.184432	256.421s	0.001	2020-04-23 02:28:53
219	0.168823	0.186947	261.005s	0.001	2020-04-23 02:33:14
220	0.168918	0.184556	262.475s	0.001	2020-04-23 02:37:36
221	0.168999	0.186183	258.94s	0.001	2020-04-23 02:41:55
222	0.169193	0.183091	263.67s	0.001	2020-04-23 02:46:19
223	0.16778	0.183567	263.703s	0.001	2020-04-23 02:50:43
224	0.168001	0.186497	263.62s	0.001	2020-04-23 02:55:06
225	0.170238	0.184588	257.842s	0.001	2020-04-23 02:59:24
226	0.168345	0.183286	259.961s	0.001	2020-04-23 03:03:44
227	0.167677	0.183307	271.58s	0.001	2020-04-23 03:08:16
228	0.168554	0.191528	258.468s	0.001	2020-04-23 03:12:34
229	0.17073	0.18851	256.471s	0.001	2020-04-23 03:16:51
230	0.170713	0.184524	264.808s	0.001	2020-04-23 03:21:16
231	0.169797	0.186416	261.839s	0.001	2020-04-23 03:25:38
232	0.169947	0.184906	264.414s	0.001	2020-04-23 03:30:02
233	0.167687	0.182236	258.668s	0.001	2020-04-23 03:34:21
234	0.168352	0.184717	271.22s	0.001	2020-04-23 03:38:52
235	0.16794	0.187451	264.178s	0.001	2020-04-23 03:43:17
236	0.168402	0.185693	266.468s	0.001	2020-04-23 03:47:43
237	0.168123	0.183473	263.662s	0.001	2020-04-23 03:52:07
238	0.167888	0.184237	261.035s	0.001	2020-04-23 03:56:28
239	0.168385	0.183715	265.505s	0.001	2020-04-23 04:00:53
240	0.167994	0.18427	262.789s	0.001	2020-04-23 04:05:16
241	0.170072	0.187662	268.045s	0.001	2020-04-23 04:09:44
242	0.167796	0.183373	265.915s	0.001	2020-04-23 04:14:10
243	0.172775	0.189856	265.028s	0.001	2020-04-23 04:18:35
244	0.170113	0.183903	260.332s	0.001	2020-04-23 04:22:56
245	0.168105	0.185095	263.891s	0.001	2020-04-23 04:27:20
246	0.16941	0.184907	258.595s	0.001	2020-04-23 04:31:39
247	0.168749	0.185364	271.339s	0.001	2020-04-23 04:36:10
248	0.170674	0.188125	273.68s	0.001	2020-04-23 04:40:44
249	0.169603	0.184672	266.496s	0.001	2020-04-23 04:45:10
250	0.16782	0.182773	263.306s	0.001	2020-04-23 04:49:34
251	0.167488	0.181782	261.465s	0.001	2020-04-23 04:53:55
252	0.16813	0.181822	257.95s	0.001	2020-04-23 04:58:13
253	0.168634	0.202765	258.607s	0.001	2020-04-23 05:02:32
254	0.171815	0.185014	254.273s	0.001	2020-04-23 05:06:46
255	0.169356	0.18547	265.318s	0.001	2020-04-23 05:11:12
256	0.16802	0.183506	264.923s	0.001	2020-04-23 05:15:37
257	0.169274	0.184949	266.203s	0.001	2020-04-23 05:20:03
258	0.168282	0.183722	259.528s	0.001	2020-04-23 05:24:22
259	0.168597	0.183264	261.261s	0.001	2020-04-23 05:28:44
260	0.170564	0.185946	257.265s	0.001	2020-04-23 05:33:01
261	0.170875	0.183626	263.688s	0.001	2020-04-23 05:37:25
262	0.167893	0.182352	261.998s	0.001	2020-04-23 05:41:47
263	0.16723	0.184223	252.331s	0.001	2020-04-23 05:45:59
264	0.171123	0.194762	262.15s	0.001	2020-04-23 05:50:21
265	0.169346	0.182581	259.952s	0.001	2020-04-23 05:54:41
266	0.167746	0.18262	255.319s	0.001	2020-04-23 05:58:57
267	0.174602	0.187624	259.609s	0.001	2020-04-23 06:03:17
268	0.169334	0.184767	256.689s	0.001	2020-04-23 06:07:33
269	0.16807	0.182897	254.841s	0.001	2020-04-23 06:11:48
270	0.167801	0.181052	262.558s	0.001	2020-04-23 06:16:11
271	0.168677	0.18328	267.361s	0.001	2020-04-23 06:20:38
272	0.168713	0.197572	265.076s	0.001	2020-04-23 06:25:03
273	0.168848	0.183556	268.045s	0.001	2020-04-23 06:29:32
274	0.168079	0.182537	265.067s	0.001	2020-04-23 06:33:57
275	0.168333	0.18124	280.02s	0.001	2020-04-23 06:38:37
276	0.167998	0.185469	286.619s	0.001	2020-04-23 06:43:23
277	0.167416	0.182536	141.495s	0.001	2020-04-23 06:45:45
278	0.168545	0.181569	139.744s	0.001	2020-04-23 06:48:05
279	0.168663	0.183307	145.846s	0.001	2020-04-23 06:50:31
280	0.168119	0.182496	144.531s	0.001	2020-04-23 06:52:55
281	0.167934	0.189321	132.693s	0.001	2020-04-23 06:55:08
282	0.168332	0.185779	144.581s	0.001	2020-04-23 06:57:33
283	0.168786	0.189493	137.822s	0.001	2020-04-23 06:59:51
284	0.16855	0.181561	129.831s	0.001	2020-04-23 07:02:00
285	0.166781	0.182573	135.074s	0.001	2020-04-23 07:04:16
286	0.167847	0.182464	129.012s	0.001	2020-04-23 07:06:25
287	0.168672	0.184526	137.739s	0.001	2020-04-23 07:08:42
288	0.168138	0.184451	137.7s	0.001	2020-04-23 07:11:00
289	0.170847	0.18976	125.361s	0.001	2020-04-23 07:13:06
290	0.17234	0.201041	131.231s	0.001	2020-04-23 07:15:17
291	0.171973	0.184029	137.554s	0.001	2020-04-23 07:17:34
292	0.168456	0.184477	135.606s	0.001	2020-04-23 07:19:50
293	0.168519	0.182682	148.637s	0.001	2020-04-23 07:22:19
294	0.167818	0.182213	140.634s	0.001	2020-04-23 07:24:40
295	0.16708	0.181377	129.865s	0.001	2020-04-23 07:26:49
296	0.166931	0.181646	132.067s	0.001	2020-04-23 07:29:02
297	0.171035	0.185358	152.549s	0.001	2020-04-23 07:31:34
298	0.168965	0.181158	149.303s	0.001	2020-04-23 07:34:04
299	0.168721	0.182145	138.838s	0.001	2020-04-23 07:36:22
300	0.167737	0.1817	157.269s	0.001	2020-04-23 07:39:00
301	0.168693	0.182669	143.25s	0.001	2020-04-23 07:41:23
302	0.167895	0.182902	135.936s	0.001	2020-04-23 07:43:39
303	0.167434	0.180987	137.216s	0.001	2020-04-23 07:45:56
304	0.16767	0.181785	137.392s	0.001	2020-04-23 07:48:14
305	0.170205	0.183161	133.74s	0.001	2020-04-23 07:50:28
306	0.169636	0.185516	132.501s	0.001	2020-04-23 07:52:40
307	0.168672	0.182901	125.224s	0.001	2020-04-23 07:54:45
308	0.167795	0.181767	129.761s	0.001	2020-04-23 07:56:55
309	0.16885	0.181263	125.34s	0.001	2020-04-23 07:59:01
310	0.167198	0.181457	136.533s	0.001	2020-04-23 08:01:17
311	0.16721	0.180485	146.765s	0.001	2020-04-23 08:03:44
312	0.167074	0.18289	129.311s	0.001	2020-04-23 08:05:53
313	0.168656	0.18219	136.9s	0.001	2020-04-23 08:08:10
314	0.167893	0.180789	132.318s	0.001	2020-04-23 08:10:23
315	0.167318	0.180284	123.157s	0.001	2020-04-23 08:12:26
316	0.169355	0.190731	126.801s	0.001	2020-04-23 08:14:33
317	0.171719	0.1859	128.993s	0.001	2020-04-23 08:16:42
318	0.168472	0.183636	132.995s	0.001	2020-04-23 08:18:55
319	0.170576	0.185142	130.904s	0.001	2020-04-23 08:21:06
320	0.168788	0.182451	131.875s	0.001	2020-04-23 08:23:18
321	0.167394	0.18284	138.95s	0.001	2020-04-23 08:25:37
322	0.16706	0.182434	137.747s	0.001	2020-04-23 08:27:55
323	0.167165	0.182806	136.283s	0.001	2020-04-23 08:30:11
324	0.167737	0.180631	139.83s	0.001	2020-04-23 08:32:31
325	0.167914	0.182249	131.266s	0.001	2020-04-23 08:34:42
326	0.171895	0.183311	130.267s	0.001	2020-04-23 08:36:52
327	0.167591	0.183214	140.719s	0.001	2020-04-23 08:39:13
328	0.167248	0.183819	159.986s	0.001	2020-04-23 08:41:53
329	0.16721	0.181631	114.146s	0.001	2020-04-23 08:43:47
330	0.168162	0.184106	128.254s	0.001	2020-04-23 08:45:56
331	0.16898	0.182573	144.151s	0.001	2020-04-23 08:48:20
332	0.16729	0.180077	121.172s	0.001	2020-04-23 08:50:21
333	0.166867	0.180613	113.881s	0.001	2020-04-23 08:52:15
334	0.166738	0.183405	109.715s	0.001	2020-04-23 08:54:05
335	0.168696	0.183036	109.654s	0.001	2020-04-23 08:55:55
336	0.168268	0.182186	111.313s	0.001	2020-04-23 08:57:46
337	0.166994	0.182345	111.585s	0.001	2020-04-23 08:59:38
338	0.167925	0.179741	112.342s	0.001	2020-04-23 09:01:30
339	0.167279	0.182657	128.941s	0.001	2020-04-23 09:03:39
340	0.166788	0.180918	113.879s	0.001	2020-04-23 09:05:33
341	0.167527	0.181709	99.1784s	0.001	2020-04-23 09:07:12
342	0.168039	0.182884	101.589s	0.001	2020-04-23 09:08:54
343	0.166767	0.185317	106.975s	0.001	2020-04-23 09:10:41
344	0.176173	0.188779	101.363s	0.001	2020-04-23 09:12:22
345	0.169113	0.182087	106.241s	0.001	2020-04-23 09:14:08
346	0.16726	0.180563	112.872s	0.001	2020-04-23 09:16:01
347	0.167276	0.182646	110.637s	0.001	2020-04-23 09:17:52
348	0.167243	0.182043	116.268s	0.001	2020-04-23 09:19:48
349	0.167018	0.180212	113.647s	0.001	2020-04-23 09:21:42
350	0.169171	0.185382	110.36s	0.001	2020-04-23 09:23:33
351	0.167984	0.183082	112.396s	0.001	2020-04-23 09:25:25
352	0.167158	0.182824	118.375s	0.001	2020-04-23 09:27:23
353	0.167148	0.18087	99.8377s	0.001	2020-04-23 09:29:03
354	0.16815	0.184009	91.7455s	0.001	2020-04-23 09:30:35
355	0.16779	0.183362	103.449s	0.001	2020-04-23 09:32:19
356	0.167076	0.180052	106.601s	0.001	2020-04-23 09:34:05
357	0.167566	0.184297	110.539s	0.001	2020-04-23 09:35:56
